Room_Width,Room_Height,Furniture_Placement
9,8,"Dining Table(2,3);Sofa(6,3);Chair(0,2);Table(0,2);Sofa(0,4)"
10,11,"Table(3,9);Sofa(7,7);Bookshelf(8,9);Desk(2,5);Sofa(7,1)"
11,9,"Dining Table(7,2);Desk(7,4);Bookshelf(1,6)"
11,14,"Desk(5,13);Table(5,11);Chair(2,11)"
9,14,"Chair(0,3);Desk(6,0);Dining Table(1,11);Wardrobe(6,1)"
14,8,"Wardrobe(3,1);Bookshelf(10,0);Bed(0,3);Table(0,2);Bookshelf(2,3)"
11,13,"Chair(7,11);Wardrobe(5,4);Table(9,3)"
11,8,"Bed(1,6);Desk(7,4);Wardrobe(2,5);Bed(5,2);Bookshelf(2,6)"
8,10,"Sofa(4,1);Desk(3,5);Dining Table(0,5);Table(3,6);Bed(0,5)"
12,11,"Table(7,4);Chair(4,9);Bed(8,7)"
9,13,"Chair(4,1);Dining Table(1,5);Table(4,9);Bed(4,11);Sofa(4,9)"
9,12,"Bookshelf(5,10);Bed(2,2);Desk(6,6)"
12,14,"Chair(10,3);Desk(0,2);Table(7,10);Wardrobe(7,10);Sofa(6,8)"
11,14,"Desk(5,11);Table(4,5);Bookshelf(9,4);Bed(7,4);Chair(1,9)"
12,12,"Desk(9,4);Sofa(2,5);Desk(0,11);Bookshelf(2,8);Bookshelf(10,8)"
8,8,"Sofa(2,6);Dining Table(3,5);Chair(0,1);Desk(2,3);Sofa(3,6)"
10,9,"Bookshelf(7,2);Wardrobe(6,5);Bed(6,1);Bookshelf(5,4)"
12,8,"Sofa(8,5);Bed(7,5);Bed(2,1);Bed(6,3)"
10,13,"Bookshelf(2,1);Bed(0,1);Bed(6,11);Bookshelf(6,2)"
12,9,"Bookshelf(2,1);Chair(7,1);Bed(6,2);Table(4,6);Bookshelf(5,4)"
13,14,"Sofa(7,2);Chair(4,3);Bookshelf(0,11)"
11,13,"Bed(4,11);Dining Table(6,8);Dining Table(4,8);Bed(3,8);Desk(0,6)"
14,9,"Chair(10,5);Desk(4,7);Bed(9,7);Wardrobe(12,4)"
12,8,"Bed(2,1);Dining Table(4,5);Wardrobe(7,2);Desk(0,0)"
9,8,"Table(3,3);Table(2,2);Sofa(4,5)"
12,8,"Bookshelf(1,1);Desk(9,3);Desk(2,6)"
11,9,"Bookshelf(1,2);Sofa(5,3);Bookshelf(9,6);Table(2,0);Dining Table(0,4)"
12,8,"Wardrobe(7,5);Sofa(8,5);Dining Table(2,5);Bookshelf(10,3)"
10,13,"Sofa(5,11);Bed(6,3);Chair(9,5)"
14,8,"Dining Table(3,2);Bed(5,4);Table(6,2);Wardrobe(12,0)"
14,10,"Desk(10,9);Bookshelf(7,1);Wardrobe(7,0);Dining Table(0,5);Wardrobe(10,5)"
14,14,"Table(11,8);Table(8,5);Desk(4,8)"
12,11,"Bed(3,5);Sofa(4,2);Bookshelf(9,1);Sofa(1,1);Bookshelf(1,3)"
10,12,"Bookshelf(7,10);Table(8,7);Table(5,7)"
8,13,"Sofa(4,2);Dining Table(2,9);Desk(5,1);Dining Table(4,4);Sofa(5,8)"
13,14,"Sofa(1,0);Desk(10,3);Chair(7,5);Dining Table(1,10);Table(4,9)"
8,11,"Dining Table(3,0);Bed(3,4);Chair(3,2);Dining Table(0,0)"
10,13,"Dining Table(2,6);Dining Table(2,1);Bed(2,0);Wardrobe(1,3)"
12,8,"Sofa(4,0);Desk(0,6);Sofa(9,2);Table(6,6)"
13,14,"Dining Table(5,6);Bookshelf(2,10);Table(11,1);Desk(1,4)"
8,9,"Desk(4,6);Table(0,2);Desk(5,1);Sofa(3,2)"
13,11,"Dining Table(1,1);Bed(2,9);Chair(7,1);Wardrobe(8,3);Dining Table(4,8)"
9,10,"Desk(5,5);Dining Table(1,4);Dining Table(4,7);Wardrobe(3,3)"
11,10,"Sofa(5,3);Bed(5,4);Bed(1,2);Desk(5,1)"
10,13,"Table(4,2);Bookshelf(5,7);Desk(4,11)"
12,12,"Dining Table(0,5);Sofa(5,3);Bookshelf(9,7);Dining Table(4,4);Desk(0,8)"
9,9,"Dining Table(2,3);Bookshelf(0,4);Sofa(5,2);Chair(4,0)"
13,12,"Wardrobe(0,1);Chair(10,3);Sofa(5,5);Sofa(4,1)"
10,8,"Bed(0,0);Dining Table(2,3);Bookshelf(2,6)"
13,10,"Table(6,8);Chair(6,5);Table(1,7)"
10,11,"Bed(0,9);Sofa(1,3);Wardrobe(8,2);Desk(0,5)"
14,9,"Bed(4,2);Desk(11,0);Wardrobe(10,4);Wardrobe(1,6)"
11,11,"Desk(4,8);Sofa(4,3);Chair(1,6)"
9,11,"Bed(1,0);Table(3,0);Sofa(0,8)"
11,9,"Bed(7,5);Chair(4,3);Bookshelf(1,0);Desk(3,0)"
9,8,"Sofa(5,5);Dining Table(1,1);Bookshelf(6,1)"
8,12,"Wardrobe(2,5);Table(1,10);Bookshelf(6,4);Sofa(2,10)"
13,10,"Chair(1,0);Sofa(5,3);Sofa(2,0);Chair(8,3)"
13,9,"Desk(7,5);Chair(10,0);Wardrobe(2,1);Bed(9,1)"
9,10,"Bookshelf(0,3);Chair(4,5);Dining Table(6,1)"
12,12,"Table(2,7);Bed(4,9);Chair(5,8);Desk(9,4)"
9,11,"Sofa(0,6);Table(3,4);Bookshelf(1,1);Chair(2,6);Bed(4,9)"
12,11,"Desk(2,3);Table(1,2);Bed(3,2)"
11,12,"Table(5,1);Chair(8,11);Dining Table(8,1);Wardrobe(3,5);Bookshelf(3,5)"
11,8,"Wardrobe(4,5);Table(2,3);Desk(3,5);Bed(0,0);Dining Table(4,5)"
8,11,"Chair(4,1);Table(3,1);Chair(6,1)"
9,13,"Table(3,8);Dining Table(1,10);Wardrobe(2,6)"
13,12,"Sofa(3,4);Dining Table(10,0);Desk(8,6);Desk(7,2);Sofa(1,2)"
8,9,"Bed(0,7);Sofa(2,1);Dining Table(1,1);Table(0,1)"
12,9,"Desk(4,3);Sofa(6,7);Table(9,3)"
8,10,"Bookshelf(5,7);Desk(0,5);Chair(4,3);Wardrobe(5,4);Desk(0,1)"
8,14,"Bed(2,3);Wardrobe(0,2);Wardrobe(5,7)"
10,9,"Dining Table(5,0);Bed(6,1);Table(2,5)"
12,11,"Bed(6,0);Bed(0,9);Chair(5,1);Dining Table(6,2);Chair(1,6)"
11,14,"Wardrobe(0,7);Dining Table(4,1);Dining Table(0,2);Chair(0,1);Bed(6,1)"
14,10,"Sofa(6,0);Bed(0,5);Table(3,0);Chair(12,3)"
13,13,"Dining Table(5,10);Wardrobe(7,8);Dining Table(8,3);Wardrobe(6,0)"
14,11,"Bookshelf(7,7);Chair(2,1);Table(5,1)"
13,13,"Sofa(6,9);Dining Table(1,3);Bed(3,5);Table(9,8)"
14,12,"Chair(12,0);Sofa(10,10);Sofa(10,8);Wardrobe(2,1)"
9,11,"Bookshelf(1,9);Desk(2,7);Bookshelf(6,0);Bed(4,9);Desk(3,3)"
13,13,"Bed(6,6);Dining Table(0,10);Wardrobe(11,9)"
14,8,"Bed(1,2);Sofa(0,4);Desk(6,5);Desk(6,1);Table(2,2)"
13,10,"Desk(2,2);Dining Table(10,6);Bed(4,6);Bed(9,4)"
14,13,"Wardrobe(10,1);Dining Table(8,2);Bookshelf(3,5);Dining Table(7,6)"
10,9,"Bookshelf(7,0);Table(3,6);Wardrobe(2,3);Bed(0,6);Chair(5,4)"
11,14,"Desk(0,10);Wardrobe(3,4);Chair(9,9);Dining Table(5,0);Table(8,12)"
10,10,"Chair(6,2);Table(6,7);Table(0,3)"
13,14,"Table(4,4);Chair(9,6);Sofa(2,2);Desk(7,5)"
13,9,"Table(3,0);Bed(2,0);Bed(5,3)"
13,8,"Dining Table(5,2);Wardrobe(9,5);Desk(10,3);Table(2,5)"
12,8,"Chair(5,2);Dining Table(7,5);Bookshelf(9,2)"
8,11,"Dining Table(4,5);Dining Table(0,3);Wardrobe(5,7);Bed(3,3)"
8,10,"Sofa(2,7);Bookshelf(6,8);Table(0,5);Chair(4,3);Wardrobe(4,3)"
10,12,"Table(0,5);Table(1,8);Dining Table(1,5)"
9,13,"Table(7,8);Desk(6,8);Table(6,0);Chair(2,9);Chair(7,7)"
12,10,"Sofa(2,2);Sofa(3,2);Bed(7,7)"
9,8,"Chair(5,2);Sofa(4,0);Bookshelf(0,3);Bookshelf(5,2);Chair(6,5)"
12,11,"Sofa(5,6);Desk(7,3);Sofa(4,7);Wardrobe(3,3);Desk(9,4)"
8,10,"Sofa(5,8);Wardrobe(4,3);Bookshelf(2,8);Wardrobe(4,5)"
10,12,"Bookshelf(8,9);Sofa(4,5);Dining Table(3,6);Dining Table(1,5)"
11,11,"Wardrobe(7,6);Sofa(5,2);Bed(0,9)"
13,9,"Dining Table(6,1);Desk(9,1);Bed(3,0);Sofa(3,1);Bookshelf(7,5)"
12,14,"Chair(6,11);Desk(1,13);Table(2,12);Bed(7,5)"
13,12,"Bed(9,8);Dining Table(7,9);Bookshelf(2,0);Desk(10,3)"
12,9,"Table(6,3);Bed(4,6);Desk(5,1)"
11,11,"Wardrobe(8,7);Table(1,6);Bookshelf(9,4);Wardrobe(3,6)"
8,13,"Table(1,11);Bed(1,3);Chair(5,10)"
8,13,"Sofa(4,5);Wardrobe(2,3);Dining Table(4,3)"
10,11,"Sofa(2,5);Desk(3,1);Desk(4,5);Sofa(4,5);Chair(0,7)"
13,10,"Table(6,1);Bed(1,6);Desk(6,8);Table(5,3);Table(4,0)"
11,12,"Bookshelf(6,2);Bookshelf(5,0);Table(8,7)"
11,9,"Bookshelf(8,6);Bookshelf(6,3);Table(2,6);Desk(3,5);Bookshelf(1,1)"
10,8,"Dining Table(6,5);Bookshelf(5,4);Bed(4,6);Table(4,4);Table(1,3)"
11,9,"Bookshelf(2,2);Bed(5,5);Chair(8,8)"
13,13,"Table(4,0);Sofa(1,11);Sofa(5,9)"
10,9,"Chair(5,5);Sofa(6,7);Chair(4,5);Bed(5,6)"
14,14,"Dining Table(11,2);Desk(11,7);Bookshelf(1,3);Wardrobe(4,4);Desk(5,9)"
14,12,"Chair(0,4);Wardrobe(4,1);Chair(5,10);Chair(0,11);Dining Table(11,2)"
14,13,"Sofa(11,5);Dining Table(0,8);Desk(11,6);Table(3,4)"
8,11,"Bookshelf(5,2);Desk(2,7);Bed(2,1);Table(4,0)"
13,8,"Bookshelf(7,3);Desk(7,3);Wardrobe(0,5)"
13,8,"Desk(5,0);Bed(9,5);Table(10,1);Sofa(4,1)"
12,14,"Chair(11,12);Dining Table(7,8);Desk(3,6)"
14,14,"Chair(12,10);Bed(10,3);Wardrobe(5,10);Sofa(7,0)"
14,9,"Table(0,0);Bookshelf(6,2);Wardrobe(8,1);Bed(1,5)"
8,11,"Dining Table(2,7);Chair(6,3);Bookshelf(1,8);Dining Table(3,3);Sofa(0,0)"
12,13,"Dining Table(0,7);Desk(5,3);Sofa(3,4)"
9,10,"Bed(3,6);Wardrobe(0,4);Table(5,6)"
13,14,"Sofa(3,11);Sofa(8,2);Wardrobe(5,8)"
14,9,"Dining Table(8,4);Chair(12,4);Table(9,2);Table(8,3)"
10,13,"Dining Table(4,10);Desk(4,10);Chair(7,7)"
10,11,"Dining Table(2,7);Wardrobe(6,8);Table(6,7);Bed(4,1)"
8,14,"Bookshelf(0,10);Wardrobe(3,4);Sofa(3,9)"
9,10,"Chair(0,8);Chair(0,8);Desk(0,6);Bed(4,4);Sofa(0,4)"
8,9,"Bookshelf(5,7);Sofa(5,7);Wardrobe(2,4);Wardrobe(5,4);Desk(2,7)"
12,12,"Desk(9,11);Chair(9,1);Sofa(4,3);Dining Table(9,9)"
13,8,"Table(1,2);Dining Table(10,4);Table(3,0);Sofa(3,2);Dining Table(2,0)"
8,13,"Desk(2,0);Chair(7,1);Bookshelf(3,6)"
10,13,"Bed(0,2);Dining Table(6,0);Sofa(2,11);Bed(3,1);Table(0,4)"
13,11,"Bookshelf(2,2);Dining Table(4,3);Bed(4,9);Dining Table(2,7)"
12,11,"Chair(10,8);Chair(5,1);Bed(5,3);Wardrobe(7,4)"
8,9,"Bookshelf(2,7);Dining Table(0,4);Table(1,4)"
13,13,"Bookshelf(7,2);Dining Table(8,3);Bookshelf(8,2)"
14,9,"Table(12,1);Dining Table(9,0);Sofa(11,4);Dining Table(0,4);Bed(10,7)"
13,8,"Bed(4,3);Wardrobe(3,3);Sofa(6,4)"
9,9,"Chair(1,1);Bed(2,5);Desk(1,2);Dining Table(2,3)"
13,8,"Dining Table(5,1);Bookshelf(5,4);Desk(2,5)"
10,10,"Table(2,5);Table(2,1);Wardrobe(6,1);Chair(0,3)"
11,11,"Bed(3,4);Chair(0,7);Table(7,6);Wardrobe(1,1);Sofa(1,5)"
9,14,"Bed(1,9);Dining Table(1,0);Bookshelf(7,1)"
14,9,"Table(6,7);Table(2,6);Table(9,4);Desk(3,7);Sofa(8,6)"
9,12,"Dining Table(0,1);Wardrobe(3,1);Wardrobe(0,0);Bed(1,6)"
11,12,"Chair(8,8);Sofa(5,2);Bookshelf(7,2)"
9,14,"Chair(2,5);Dining Table(5,2);Dining Table(4,5);Chair(2,2);Dining Table(6,4)"
11,11,"Dining Table(3,4);Bed(3,4);Table(1,2);Desk(2,9);Bed(6,0)"
10,11,"Table(2,5);Chair(2,1);Desk(5,5);Wardrobe(2,5)"
11,13,"Table(7,10);Wardrobe(0,6);Wardrobe(8,4)"
13,11,"Bookshelf(1,4);Desk(2,5);Table(7,8);Table(4,3)"
11,12,"Table(2,5);Desk(8,1);Bed(7,6)"
14,8,"Bed(0,5);Chair(11,2);Dining Table(6,2);Table(12,3);Dining Table(7,3)"
8,14,"Desk(4,12);Dining Table(5,10);Bed(3,8);Chair(5,12);Bed(4,9)"
13,11,"Chair(3,5);Dining Table(1,6);Chair(6,10);Desk(4,7)"
14,14,"Wardrobe(3,11);Dining Table(11,9);Bookshelf(8,1)"
9,9,"Bookshelf(4,2);Chair(8,2);Dining Table(2,3)"
11,10,"Bed(0,2);Wardrobe(9,5);Bed(6,2)"
13,13,"Wardrobe(10,3);Dining Table(0,5);Dining Table(8,7);Wardrobe(7,4);Bookshelf(1,7)"
10,9,"Bookshelf(8,6);Wardrobe(3,1);Wardrobe(6,5);Dining Table(1,2)"
14,10,"Chair(1,1);Dining Table(10,4);Bookshelf(9,0);Sofa(9,1)"
9,14,"Wardrobe(7,2);Table(2,3);Chair(6,7)"
10,13,"Bookshelf(5,1);Bed(3,8);Wardrobe(5,9);Dining Table(1,8);Table(2,9)"
11,8,"Bed(3,0);Bed(5,6);Chair(3,5)"
11,8,"Sofa(2,5);Dining Table(2,4);Table(0,6)"
9,9,"Table(7,0);Bookshelf(4,7);Dining Table(4,3);Bed(4,2);Table(4,0)"
11,14,"Wardrobe(4,11);Wardrobe(4,8);Bed(7,10);Sofa(7,4)"
12,9,"Desk(8,6);Bookshelf(7,5);Sofa(4,7)"
13,10,"Desk(1,4);Chair(2,7);Sofa(0,5)"
12,10,"Desk(3,2);Table(4,4);Sofa(3,4);Bed(8,2);Desk(6,7)"
9,13,"Table(2,11);Wardrobe(6,9);Desk(2,1);Bookshelf(6,8)"
10,8,"Chair(3,4);Wardrobe(5,5);Table(6,3)"
8,10,"Table(1,6);Bed(0,5);Desk(0,9);Bookshelf(1,4);Wardrobe(1,2)"
10,13,"Chair(9,11);Bookshelf(6,6);Desk(3,12);Desk(4,3);Table(5,8)"
9,14,"Wardrobe(1,6);Chair(3,7);Dining Table(0,0);Sofa(5,7)"
11,9,"Table(4,7);Wardrobe(9,0);Bed(2,3);Dining Table(1,3)"
11,9,"Desk(8,6);Bookshelf(4,3);Bed(7,4);Desk(2,1);Bookshelf(8,1)"
10,12,"Dining Table(0,4);Bed(6,5);Sofa(0,8);Wardrobe(0,7);Table(2,2)"
12,8,"Bookshelf(10,3);Dining Table(2,4);Table(7,3)"
13,9,"Bookshelf(1,4);Chair(0,0);Chair(1,0)"
10,12,"Bed(1,0);Table(2,1);Dining Table(7,1)"
12,10,"Desk(3,1);Sofa(8,2);Bookshelf(8,6);Bed(8,7)"
14,10,"Dining Table(10,3);Desk(1,6);Bookshelf(6,1);Bed(7,8)"
11,9,"Dining Table(6,6);Desk(0,1);Table(2,3)"
12,8,"Bookshelf(9,3);Dining Table(6,1);Bed(1,6);Chair(7,3)"
11,10,"Desk(3,3);Bed(5,7);Bed(6,7);Dining Table(1,4);Table(3,3)"
12,8,"Sofa(8,0);Bed(4,1);Chair(11,5);Sofa(1,3)"
14,11,"Table(1,6);Dining Table(9,5);Sofa(3,5);Bed(5,9)"
12,10,"Wardrobe(6,6);Bed(7,3);Desk(0,6);Wardrobe(9,1);Table(2,6)"
13,12,"Chair(7,5);Table(0,5);Table(3,0);Table(11,10);Wardrobe(3,4)"
13,11,"Table(0,0);Dining Table(8,7);Bookshelf(6,5);Wardrobe(5,0);Dining Table(10,0)"
10,11,"Table(8,6);Desk(2,10);Bookshelf(4,4);Chair(9,2)"
9,12,"Chair(6,4);Bookshelf(5,9);Chair(1,8)"
10,13,"Sofa(5,10);Desk(4,4);Chair(4,0)"
10,13,"Wardrobe(7,5);Table(0,11);Dining Table(4,10);Bookshelf(6,4);Desk(1,5)"
8,11,"Desk(2,5);Table(2,3);Bookshelf(1,4);Bookshelf(6,6);Bed(4,4)"
9,9,"Bed(1,4);Wardrobe(3,0);Bookshelf(1,7);Table(5,3)"
13,11,"Sofa(8,5);Wardrobe(3,1);Wardrobe(3,5);Dining Table(0,2);Chair(10,10)"
13,14,"Bed(1,10);Dining Table(8,6);Wardrobe(8,10);Bed(1,11);Chair(7,12)"
11,13,"Desk(3,5);Table(7,4);Chair(4,7)"
13,9,"Bookshelf(7,6);Dining Table(4,5);Bed(7,7);Sofa(3,7)"
14,13,"Bookshelf(11,0);Dining Table(11,3);Bed(5,11);Wardrobe(2,10);Chair(12,11)"
9,9,"Bed(3,1);Bed(3,4);Bookshelf(0,0);Bed(5,5);Bookshelf(5,4)"
8,12,"Desk(5,2);Dining Table(1,5);Table(3,1)"
12,13,"Sofa(4,0);Chair(6,11);Sofa(9,3);Table(3,4);Sofa(6,0)"
13,9,"Wardrobe(10,2);Bookshelf(5,3);Chair(12,7)"
8,8,"Wardrobe(0,0);Wardrobe(6,0);Desk(0,4)"
9,14,"Table(4,8);Chair(4,1);Dining Table(4,8)"
10,13,"Chair(2,7);Table(5,6);Sofa(0,5);Bookshelf(2,11);Wardrobe(2,4)"
8,8,"Wardrobe(1,3);Chair(2,4);Sofa(4,6);Chair(7,4)"
11,11,"Chair(2,0);Table(7,2);Desk(3,2)"
13,8,"Table(6,3);Bookshelf(11,2);Desk(7,1)"
8,14,"Dining Table(4,3);Table(5,0);Bed(2,1)"
13,10,"Chair(2,3);Table(10,0);Table(10,7)"
13,14,"Desk(2,7);Sofa(4,11);Table(11,6);Chair(8,1);Table(1,3)"
12,11,"Table(0,8);Sofa(3,1);Bookshelf(7,7);Sofa(6,3)"
14,11,"Bookshelf(3,7);Desk(7,4);Table(11,9)"
12,10,"Chair(0,8);Chair(3,6);Table(8,5);Dining Table(4,5)"
10,12,"Wardrobe(3,3);Bookshelf(5,8);Bookshelf(3,7)"
14,10,"Bed(8,6);Chair(11,9);Bed(2,0)"
13,13,"Sofa(8,5);Sofa(2,0);Bed(8,8);Chair(9,4)"
13,10,"Dining Table(0,7);Chair(2,2);Chair(3,8);Dining Table(2,3);Dining Table(1,5)"
12,13,"Dining Table(7,7);Desk(5,4);Wardrobe(4,1);Desk(6,1);Table(8,9)"
12,13,"Sofa(4,10);Sofa(2,5);Dining Table(6,8)"
12,11,"Sofa(5,5);Bookshelf(9,1);Table(7,5)"
8,8,"Bed(2,6);Wardrobe(3,3);Wardrobe(4,2);Table(1,2)"
11,8,"Sofa(1,6);Desk(7,5);Table(0,1);Chair(9,2);Chair(6,4)"
8,12,"Wardrobe(4,2);Desk(0,2);Chair(0,8)"
12,12,"Desk(7,2);Sofa(9,9);Desk(7,5);Desk(7,0);Dining Table(4,2)"
12,13,"Bed(8,8);Wardrobe(0,9);Wardrobe(10,5);Chair(1,0)"
11,12,"Desk(1,9);Dining Table(7,8);Bed(0,8);Sofa(2,2)"
14,13,"Table(11,5);Bed(3,4);Dining Table(3,5);Chair(6,12);Bookshelf(12,2)"
11,13,"Bed(3,8);Wardrobe(5,8);Desk(2,12);Dining Table(7,0);Bed(5,4)"
9,11,"Dining Table(0,4);Dining Table(3,6);Bed(5,8)"
9,11,"Sofa(5,7);Dining Table(5,1);Chair(7,7);Bookshelf(1,5)"
10,10,"Table(2,7);Chair(4,3);Bed(5,3);Desk(2,7);Chair(4,5)"
13,10,"Dining Table(9,6);Bookshelf(7,7);Wardrobe(9,5);Desk(4,3);Desk(0,3)"
10,8,"Chair(4,5);Sofa(0,4);Desk(3,3);Bed(1,0);Desk(6,4)"
13,12,"Bookshelf(11,5);Wardrobe(4,5);Chair(10,8);Wardrobe(1,0);Desk(4,11)"
14,8,"Dining Table(1,5);Table(8,0);Table(11,3);Chair(4,5);Bed(4,5)"
13,14,"Dining Table(10,5);Dining Table(6,2);Chair(8,2)"
12,9,"Chair(5,3);Bookshelf(6,0);Sofa(7,2);Chair(0,8);Dining Table(3,5)"
9,9,"Chair(5,4);Bookshelf(0,1);Sofa(4,4)"
11,12,"Desk(7,3);Sofa(0,9);Sofa(1,1)"
14,14,"Table(12,5);Dining Table(6,10);Sofa(0,2);Desk(0,10)"
13,14,"Sofa(1,11);Bed(6,11);Table(0,0);Desk(3,2);Desk(7,6)"
11,10,"Chair(10,2);Table(7,2);Chair(10,6)"
13,11,"Wardrobe(5,1);Wardrobe(4,4);Table(1,0);Chair(9,2);Desk(6,5)"
13,8,"Wardrobe(3,4);Wardrobe(5,3);Desk(6,6);Desk(2,2)"
11,11,"Chair(2,1);Wardrobe(7,7);Wardrobe(7,4);Wardrobe(7,4);Sofa(7,5)"
14,13,"Bed(5,5);Bed(3,1);Bed(2,9)"
9,9,"Wardrobe(5,1);Bed(1,0);Sofa(1,6);Dining Table(5,3)"
9,11,"Wardrobe(1,1);Desk(6,9);Dining Table(4,7);Dining Table(5,5);Wardrobe(6,0)"
9,9,"Bed(2,7);Wardrobe(7,5);Table(6,5);Desk(0,3);Bookshelf(5,3)"
8,9,"Bookshelf(4,0);Bookshelf(5,3);Chair(0,0)"
11,12,"Bed(6,4);Bed(3,2);Wardrobe(3,3)"
12,13,"Dining Table(7,9);Bed(6,6);Table(6,3);Wardrobe(3,3);Sofa(5,11)"
10,9,"Wardrobe(4,2);Dining Table(4,5);Wardrobe(4,2)"
12,12,"Bookshelf(1,4);Chair(6,4);Desk(3,8);Desk(3,3)"
13,10,"Bookshelf(0,6);Bookshelf(1,1);Dining Table(9,3)"
12,8,"Bookshelf(6,1);Desk(6,4);Wardrobe(6,0);Dining Table(4,3);Chair(0,6)"
10,8,"Desk(3,6);Bookshelf(5,6);Sofa(4,4);Dining Table(5,2)"
13,8,"Dining Table(2,0);Dining Table(0,4);Sofa(0,4);Bookshelf(10,1)"
14,14,"Sofa(6,3);Wardrobe(9,3);Bed(9,6);Chair(6,0)"
9,13,"Table(4,6);Bookshelf(0,4);Dining Table(2,0);Dining Table(1,0)"
8,12,"Wardrobe(5,4);Chair(4,7);Wardrobe(4,5)"
12,9,"Wardrobe(10,5);Bed(3,0);Table(6,6)"
14,10,"Bed(6,4);Wardrobe(6,4);Table(12,0);Dining Table(0,0)"
13,14,"Bed(2,2);Table(2,8);Bed(9,3);Chair(5,10);Table(3,9)"
9,13,"Table(2,0);Bed(3,11);Wardrobe(7,10);Bed(2,5);Chair(0,10)"
8,14,"Bed(0,5);Bookshelf(2,12);Chair(6,7);Chair(2,0)"
8,11,"Bed(0,3);Chair(7,9);Sofa(1,9);Dining Table(3,4)"
13,12,"Table(1,5);Table(6,7);Sofa(3,1)"
14,10,"Bookshelf(11,6);Sofa(3,6);Dining Table(3,7)"
12,8,"Chair(5,7);Wardrobe(9,5);Wardrobe(7,3)"
10,13,"Bookshelf(5,10);Table(2,1);Bed(5,5)"
14,12,"Dining Table(10,5);Sofa(3,3);Table(11,7);Wardrobe(9,6);Bed(8,2)"
8,14,"Wardrobe(0,10);Chair(4,8);Chair(4,11);Bookshelf(5,11)"
8,12,"Bookshelf(0,5);Desk(4,9);Dining Table(1,8);Desk(5,7);Table(4,7)"
13,11,"Bookshelf(4,5);Desk(10,0);Bookshelf(5,5);Wardrobe(6,4)"
13,13,"Wardrobe(11,9);Table(0,0);Dining Table(7,0)"
14,10,"Table(8,7);Wardrobe(10,6);Dining Table(6,3);Table(7,2);Desk(6,8)"
11,13,"Desk(1,4);Chair(6,0);Chair(5,12);Dining Table(5,2)"
12,11,"Sofa(9,6);Table(5,3);Dining Table(4,2)"
12,13,"Bookshelf(0,3);Bed(5,2);Chair(10,2)"
14,8,"Table(7,3);Dining Table(11,4);Bed(6,1);Desk(11,5)"
14,13,"Table(9,8);Bookshelf(3,10);Desk(0,9);Desk(8,0);Dining Table(6,10)"
8,14,"Table(2,12);Chair(6,7);Sofa(1,9);Chair(6,8)"
10,13,"Bed(3,0);Dining Table(6,3);Sofa(5,11);Desk(6,6)"
12,10,"Sofa(1,3);Bed(7,8);Table(1,2)"
14,13,"Desk(2,10);Sofa(11,4);Chair(9,11);Bookshelf(12,1)"
8,11,"Chair(6,3);Dining Table(4,7);Wardrobe(5,6);Desk(5,3);Wardrobe(6,6)"
8,9,"Wardrobe(6,0);Sofa(3,5);Sofa(1,1);Wardrobe(0,4)"
14,13,"Desk(5,3);Table(5,10);Bed(10,7)"
13,13,"Table(8,8);Sofa(6,0);Desk(9,9);Sofa(1,11)"
10,9,"Sofa(4,0);Desk(2,2);Desk(5,0);Chair(8,7)"
12,10,"Dining Table(8,5);Sofa(9,6);Table(3,2);Bed(2,7);Sofa(8,8)"
11,11,"Bookshelf(6,7);Table(4,7);Bed(0,3)"
8,9,"Bookshelf(6,7);Sofa(4,5);Table(2,7);Table(1,7);Bookshelf(2,0)"
12,9,"Desk(8,5);Table(8,4);Bed(6,5)"
8,11,"Wardrobe(3,8);Chair(0,1);Sofa(2,3);Bookshelf(0,1);Chair(6,6)"
11,9,"Bed(0,3);Sofa(4,2);Desk(8,2)"
8,10,"Sofa(2,7);Bed(2,0);Bookshelf(3,3);Table(6,2);Bookshelf(4,2)"
9,10,"Table(7,8);Table(0,0);Bed(3,3);Bookshelf(2,4)"
13,14,"Wardrobe(10,2);Dining Table(5,7);Sofa(6,3);Table(2,11)"
10,9,"Wardrobe(1,0);Bed(0,0);Wardrobe(2,2);Bookshelf(4,4);Desk(2,7)"
11,10,"Desk(4,8);Wardrobe(8,7);Wardrobe(9,7)"
11,14,"Chair(6,3);Bed(2,8);Dining Table(0,5);Desk(3,6)"
12,11,"Bed(1,3);Bed(7,9);Chair(0,4);Wardrobe(10,1)"
10,9,"Bookshelf(7,0);Bookshelf(8,2);Sofa(6,7)"
9,11,"Sofa(6,1);Bookshelf(0,3);Dining Table(4,5);Sofa(6,5)"
10,9,"Wardrobe(0,0);Table(4,7);Desk(1,7);Bookshelf(1,6)"
9,13,"Chair(8,7);Sofa(3,0);Dining Table(1,3);Bed(5,10)"
8,11,"Chair(3,5);Dining Table(1,2);Sofa(2,8)"
14,12,"Bookshelf(6,0);Bed(8,2);Dining Table(0,6)"
14,14,"Bed(10,7);Chair(10,1);Sofa(6,1);Table(9,4);Chair(5,6)"
13,10,"Chair(1,8);Dining Table(1,3);Wardrobe(5,5);Bed(8,2);Bed(1,1)"
8,10,"Bed(2,4);Chair(1,2);Dining Table(3,6);Wardrobe(5,4)"
8,8,"Wardrobe(0,3);Wardrobe(1,4);Desk(0,2)"
12,10,"Desk(8,0);Chair(6,8);Desk(7,1)"
